sid,stimfile,eye_used,trialid,n_fix_trial,sum_fix_dur_trial,dwell_time_trial,mean_fix_dur_trial,n_sacc_trial,sum_sacc_dur_trial,mean_sacc_dur_trial,mean_sacc_ampl_trial,ratio_progress_regress_trial,n_between_line_regress_trial,n_within_line_regress_trial,n_regress_trial,n_progress_trial,n_transit_trial,aoi,aoi_kind,content,dwell_time_aoi,n_fix_aoi,sum_fix_dur_aoi,mean_fix_dur_aoi,skipped_aoi,n_fix_first_visit_aoi,first_fix_dur_aoi,first_fix_land_pos_aoi,dwell_time_first_visit_aoi,sum_fix_dur_first_visit_aoi,sum_fix_dur_after_first_visit_aoi,dwell_time_rereading_aoi,n_revisits_aoi,task
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003,line,,16538.368999999948,28,31428.962000001688,1122.4629285714889,0,28,151.93400000000838,0.18443541666666666,16538.368999999948,15714.481000000844,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_001,subline,bocha,503.98200000007637,1,1015.9640000001527,1015.9640000001527,0,1,507.98200000007637,0.4440865384615385,503.98200000007637,507.98200000007637,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_002,subline,šakve,696.0410000000848,2,1360.1100000001024,680.0550000000512,0,2,439.969000000041,0.11574999999999988,696.0410000000848,680.0550000000512,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_003,subline,lámě.,1615.7519999999786,2,3247.498000000138,1623.749000000069,0,1,151.93400000000838,0.4847077922077921,147.93699999991804,151.93400000000838,1471.8150000000605,1467.8150000000605,1,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_004,subline,Tašelá,1775.9309999999823,2,3543.850000000326,1771.925000000163,0,2,899.9330000000773,0.20387640449438182,1775.9309999999823,1771.925000000163,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_005,subline,sně,983.6999999999534,3,1967.3980000000447,655.7993333333483,0,2,511.85700000007637,0.17790816326530556,595.8510000000242,591.8500000000931,391.8489999999292,387.8489999999292,1,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_006,subline,pronité,1452.0140000001993,2,2920.0260000003036,1460.0130000001518,0,1,340.0120000001043,0.18790816326530574,336.0120000001043,340.0120000001043,1120.0010000000475,1116.002000000095,1,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_007,subline,šere.,787.810999999987,1,1583.6180000000168,1583.6180000000168,0,1,791.8090000000084,0.251865671641791,787.810999999987,791.8090000000084,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_008,subline,Každépo,1367.8800000000047,4,2695.750000000233,673.9375000000582,0,2,139.97400000004563,0.23495726495726504,931.8839999999618,927.877000000095,419.9980000000214,435.99600000004284,1,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_009,subline,rytách,763.9479999999749,2,1543.8920000002254,771.9460000001127,0,1,260.07700000004843,0.19137931034482863,256.07600000000093,260.07700000004843,511.86900000006426,507.8719999999739,1,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_010,subline,pronity,728.0579999999609,2,1224.0219999998808,612.0109999999404,0,2,203.96699999994598,0.16341836734693863,728.0579999999609,612.0109999999404,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_011,subline,harto,667.8079999999609,1,1343.6080000000075,1343.6080000000075,0,1,671.8040000000037,0.1318243243243258,667.8079999999609,671.8040000000037,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_012,subline,e,1568.0079999999143,1,3144.0139999999665,3144.0139999999665,0,1,1572.0069999999832,0.9973913043478284,1568.0079999999143,1572.0069999999832,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_003-part_013,subline,šere,139.98600000003353,1,287.9700000002049,287.9700000002049,0,1,143.98500000010245,0.800720338983052,139.98600000003353,143.98500000010245,0.0,0.0,0,T5_Pseudo_Text
